NCLemma,NCStandard,LiteralSynonym,Non-LiteralSynonym,Non-LiteralSynonym 2
aire libre,aire libre,osíxeno ceibe,ceo aberto,
ataque cardíaco,ataque cardíaco,agresión cardíaca,infarto,
auditoría externo,auditoría externa,inspección externa,,
aviso amarelo,aviso amarelo,alerta amarela,alerta de nivel baixo,
banda ancho,banda ancha,banda grosa,internet de alta velocidade,
banda sonoro,banda sonora,faixa acústica,cancións dun filme,
bandeira negro,bandeira negra,bandeira de cor negra,praia contaminada,sinal de protesto
brazo aberto,brazos abertos,brazos separados,cordialmente,
burato negro,burato negro,burato de cor negra,obxecto celeste,débeda económica
camisa branco,camisa branca,camisa de cor branca,,
casco antigo,casco antigo,casco protector vello,parte histórica da cidade,
centro educativo,centro educativo,institución educativa,,
centro neurálxico,centro neurálxico,núcleo nervioso,lugar máis frecuentado,
cidade vello,cidade vella,cidade ruinosa,parte histórica da cidade,
clase alto,clase alta,categoria elevada,burguesía,
día hábil,día hábil,xornada habilidosa,día laborable,
enerxía limpo,enerxía limpa,enerxía non contaminante,,
fenda dixital,fenda dixital,fendedura dactilar,diferenza de acceso ás novas tecnoloxías,
festa rachado,festa rachada,festexo fendido,festa grande,
glóbulo vermello,glóbulo vermello,célula sanguínea pigmentada,,
golpe duro,golpe duro,choque con forza,impedimento,
hora baixo,horas baixas,horas reducidas,mal momento,período de pouca actividade
incendio forestal,incendio forestal,incendio no monte,,
leña verde,leña verde,madeira húmida,xente nova,
ligazón morto,ligazón morta,conexión falecida,link sen destino,
lingua galego,lingua galega,idioma galego,,
lume lento,lume lento,fogo vagaroso,pouca temperatura,a pouca velocidade
luz verde,luz verde,iluminación verde,aprobación,
luz vermello,luz vermella,iluminación encarnada,prohibición,sospeita
masa salarial,masa salarial,acumulación económica,conxunto de retribucións,
materia escuro,materia escura,material negro,materia cósmica descoñecida,
memoria vivo,memoria viva,lembranza vivente,recordos populares,personalidade relevante que aínda vive
monte baixo,monte baixo,monte de pouca altitude,monte con arbustos pequenos,
órgano central,órgano central,corazón,institución principal,instrumento máis importante
paseo marítimo,paseo marítimo,paseo polo mar,camiño construído á beira do mar,
pegada ecolóxico,pegada ecolóxica,pisada natural,indicador de sustentabilidade das actividades humanas,
poboación activo,poboación activa,poboamento animado,persoas que poden traballar,
porta grande,porta grande,acceso amplo,alta reputación,
punto forte,punto forte,lugar robusto,virtude,
punto limpo,punto limpo,lugar aseado,depósito de residuos,
punto negro,punto negro,mancha de cor negra,tramo de concentración de accidentes,zona contaminada
renda básico,renda básica,rédito simple,subsidio esencial,
salto cualitativo,salto cualitativo,brinco cualitativo,avance importante,
tempo escuro,tempo escuro,momento sombrío,período decadente,
tempo parcial,tempo parcial,momento fragmentario,xornada de traballo reducida,compatibilización entre varias tarefas
venres negro,venres negro,sexta feira escura,xornada negativa,descontos na compra online
vida laboral,vida laboral,parte da vida dedicada ao traballo,informe do traballos realizados,
vida real,vida real,vida dunha persoa,realidade,
vivenda libre,vivenda libre,vivenda vacía,vivenda sen protección oficial,
xente novo,xente nova,xente descoñecida,persoas de pouca idade,