,,,,,Rosa,,,,,Edward,,,,Harish,,,
MWE,Literal Meaning,Non-Literal Meaning,"Only Literal (X), Ignore Idiom (I)",,Literal Meaning,Non-Literal Meaning,Non-Literal Meaning add,Pilot annotation?,,Literal Meaning,Non-Literal Meaning,Non-Literal Meaning add,,Literal Meaning,Non-Literal Meaning,Non-Literal Meaning add,Non-Literal Meaning add 2 
bankruptcy proceeding,default action,court case,X,,,,,,,None,,,,None,,,
black operation,dark action,secret operation,,,,,,,,,,,,inky operation,covert operation,,
field work,area activity,research,,,,,,,,,,,,pasture work,practical acadamic work,temporary fortification,
marketing consultant,merchandising advisor,sales advisor,X,,,,,,,None,,,,None,,,
box office,crate agency,movie industry,,,,,,,,,,,,crate office,,,
noise complaint,disturbance ailment,protest,X,,,,,,,,,,,None,,,
pipe dream,tube ambition,unrealistic,,,,,,,,None,,,,tube dream,,,
honey trap,sweetener ambush,lure,,,,,,,,,,,,sweetener trap,,,
acid test,sour analysis,crucial appraisal,,,,,,,,,,,,acidic test,conclusive test,,
case study,instance analysis,study,X,,,,,,,None,,,,None,,,
chain reaction,succession answer,series of reactions,X,,,,,,,None,,,,None,self-sustaining chemical reaction,series of events,
ancient history,past antiquity,history,X,,,,,,,,,,,None,,,
china clay,asia argil,fine clay,,,,,,,,,,,,asia clay,,,
divine service,celestial assistance,religious service,X,,,,,,,,,,,None,,service to God,
economic aid,budgetary assistance,financial assistance,X,,,,,,,,,,,None,,,
lip service,mouth assistance,insincere agreement,,,,,,,,,,,,mouth service,,,
mail service,post assistance,postal service,X,,,,,,,None,,,,None,,,
computer expert,workstation authority,computer specialist,X,,,,,,,None,,,,None,,,
cable car,cord automobile,trolley,X,,,,,,,,,,,None,,,
panda car,bear automobile,police car,,,,,,,,,,,,bear car,,,
credit card,balance badge,monetary card,X,,,,,,,,,,,None,bank card,,
basket case,crate bag,crazy person,,,,,,,,,,,,basket,,region in economic difficulties,
life belt,existence band,flotation devise,,,,,,,,,,,,existence belt,,,
rock bottom,mineral basement,lowest point,,,,,,,,,,,,gravel bottom,worst situation,,
swimming pool,floating bath,pool,X,,,,,,,None?,<--,,,None,,,
public service,open benefit,governmental service,,,,,,,,,public help ,,,service helping people,public help ,,
sitting duck,posing bird,victim,,,,,,,,sitting bird ,easy target,,,seated duck,easy target,,
balance sheet,residue blanket,financial record,,,,,,,,financial sheet?,,,,stability sheet,financial statement,,
cheat sheet,trick blanket,quick reference,,,,,,,,cheat page  / trick sheet,,,,cheat page,,,
black cherry,dark blueberry,cherry,X,,,,,,,,,,,None,,,
guinea pig,ethnicity boar,test subject,,,,,,,,,,,,pig,,,
human being,person body,person,X,,,,,,,human entity,person ,,,None,,,
milk tooth,liquid bone,baby tooth,,,,,,,,,,,,buttermilk tooth,,,
cutting edge,incisive boundary,innovation,,,,,,,,,,,,slicing edge,most advanced,,
fine line,mulct boundary,subtle difference,,,,,,,,,"""walking a fine line""?",,,thin line,,,
firing line,fire boundary,shooting line,I,,,,,,,,,,,"Part of ""in the firing line?",,,
speed limit,velocity boundary,maximum speed,X,,,,,,,None?,<--,,,None,,,
sacred cow,divine bovine,immune person,,,,,,,,,,,,divine cow,above criticism ,,
fall guy,drop boy,scapegoat,,,,,,,,,,,,drop guy,,,
street girl,avenue boy,prostitute,,,,,,,,,,,,girl living on street,,,
dutch courage,hollander bravery,alcoholic courage,,,,,,,,,,,,hollannder courage,,,
eternal rest,permanent break,death,,,,,,,,,,,,permanent rest,place in heaven,,
half sister,incomplete brother,step sister,,,,,,,,,,,,incomplete sister,,,
labour union,toil brotherhood,workers union,X,,,,,,,,,,,None,,,
cash cow,money bullock,easy income,,,,,,,,,,,,money cow,steady income,,
busy bee,unavailable bumblebee,unavailable bumblebee,,,,,,,,,,,,unavailable bee,,,
spelling bee,ortographic bumblebee,spelling contest,X,,,,,,,None? ,<--,,,None,,,
law firm,jurisprudence business,lawyer,X,,,,,,,None? ,<--,,,None,law service,,
call centre,ring buzz,answering service,X,,,,,,,None? ,<--,,,None,,,
white noise,clear buzz,static,,,,,,,,,,,,snowy noise,,distracting commotion,calming sounds
benign tumour,benevolent carcinoma,noncancerous tumour,X,,,,,,,None?,<--,,,None,,,
job fair,work carnival,career expo,X,,,,,,,None?,<--,,,None,,,
baby buggy,child cart,pram,X,,,,,,,None?,<--,,,None,,,
pillow slip,cushion case,pillow case,X,,,,,,,None?,<--,,,None,,,
dirty money,smutty cash,illegal money,,,,,,,,,,,,grimy money,,,
day shift,period change,daytime work,X,,,,,,,,,,,None,,,
graveyard shift,cemetery change,night shift,,,,,,,,,,,,cemetery shift,,,
head hunter,brain chaser,recruiter,,,,,,,,,,,,brain hunter,,baseball pitcher,hunter
traffic control,influx check,transportation management,X,,,,,,,,,,,None,,,
backroom boy,campaigning child,assistant,,,,,,,,,,,,private room boy,anonymous worker,,
old timer,antique chronometer,veterans,,,,,,,,,,,,antique clock,,,
brass ring,metal circlet,prize,,,,,,,,,,,,metal ring,,,
ghost town,spectre city,abandoned town,,,,,,,,,,,,spectre town,,,
close call,near claim,scary situation,,,,,,,,,narrow escape?,difficult decision,,near call,narrow escape,difficult decision,
wet blanket,damp cloak,loser,,,,,,,,,,"""put a wet blanket on""",,damp blanket,killjoy,,
smoking jacket,smoky coat,formal jacket,,,,,,,,jacket for smoking,,,,jacket for smoking,,,
wedding anniversary,marriage commemoration,marriage celebration,X,,,,,,,,,,,None,,,
banana republic,fruit commonwealth,chaotic government,,,,,,,,,,,,fruit republic,politically unstable country,,
hen party,chicken company,bachelorette party,,,,,,,,None,,,,chicken party,,,
news agency,message company,press agency,X,,,,,,,None?,<--,,,None,,,
rat race,mouse competition,exhausting routine,,,,,,,,,,,,mouse race,,,
radioactive material,dangerous component,hazardous substance,X,,,,,,,,,,,None,,,
love song,passion composition,romantic music,X,,,,,,,None?,<--,,,None,,,
dead end,extinct conclusion,road end,,,,,,,,,,,,,,lacking opportunities,
world conference,earth congress,global meeting,X,,,,,,,,,,,None,,,
insurance policy,coverage contract,contract,X,,,,,,,,,,,None,,bak up,
cooking stove,baking cooker,range,X,,,,,,,None,,,,None,cooker,,
cocktail dress,appetizer costume,formal dress,,,,,,,,,,,,appetizer dress,,,
disability insurance,impairment coverage,disability assistance,X,,,,,,,,,,,None,,,
social insurance,civil coverage,government assistance,X,,,,,,,,,,,None,,,
con artist,bluff creator,swindler,X,,,,,,,None,,,,None,,,
heavy cross,weighty crucifix,burden,,,,,,,,weighty cross / strong cross??,,heavy punch?,,weighty cross,,,
brain drain,cerebellum culvert,loss of intellectuals,,,,,,,,,,,,cerebellum drain,,,
end user,final customer,user,X,,,,,,,None,,,,None,,,
silver spoon,metal cutlery,rich life,,,,,,,,,,,,metal spoon,privileged background,,
dust storm,dirt cyclone,sand storm,X,,,,,,,,,,,None,,,
sugar daddy,carbohydrate dad,benefactor,,,,,,,,,,,,carbohydrate daddy,,,
stag night,deer darkness,bachelor party,,,,,,,,,,,,deer night,,,
information age,data date,digital era,X,,,,,,,,,,,None,,,
wedding day,marriage date,marriage date,X,,,,,,,None,,,,None,,,
ground floor,land deck,ground level,X,,,,,,,None,,,,None,,early stages,
prison guard,jail defender,prison warden,X,,,,,,,None,,,,None,,,
baby blues,child dejection,depression,X,,,,,,,,,blue colours,,None,,blue eyes,
peace talk,tranquility discussion,negotiation,,,,,,,,,peace negotiation,,,tranquility talk,peace negotiation,,
beauty sleep,charm dream,nap,,,,,,,,,,,,charm nap,sufficient restful sleep,,
fresh water,crisp drink,clean water,X,,,,,,,None,,,,None,,,
sparkling water,starry drink,carbonated water,X,,,,,,,None,,twinkling water ,,None,,,
hard shoulder,solid elbow,emergency lane,,,,,,,,solid shoulder,,,,solid shoulder,,football tackle,
brain teaser,cerebellum enigma,hard problem,,,,,,,,,puzzle,,,cerebellum teaser,,,
role model,function example,inspiration,,,,,,,,role example?,,,,,,,
sex bomb,sexuality explosive,sexy person,,,,,,,,,,,,function explosive,,,
fairy tale,sprite fable,enchanted story,,,,,,,,,,,,sprite story,children's story,exaggeration,
silver lining,metal facing,good side,,,,,,,,grey lining,,,,grey lining,unexpected advantage,,
bad hat,terrible fedora,trouble maker,,,,,,,,bad cap ,,,,terrible hat,,,
old hat,antique fedora,old fashioned,,,,,,,,old cap ,something familiar,,,antique hat,,,
music festival,sound fete,shows,X,,,,,,,None,,,,None,,,
old flame,antique fire,past lover,,,,,,,,elderly flame,,,,elderly flame,,,
damp squib,humid firework,failure,,,,,,,,weak explosive,,,,humid squib,disapointment,,
loan shark,debt fish,money lender,,,,,,,,,,,,,,,
narrow escape,thin flight,close call,X,,,,,,,,,,,None,,,
noble gas,aristocrat fluid,chemical element,X,,,,,,,None,,,,None,,,
nest egg,structure food,monetary fund,,,,,,,,,,,,roost egg,,,
spinning jenny,rotating frame,machine,,,,,,,,,,,,rotating donkey,thread maker,,
fair play,equal game,integrity,,,,,,,,,equal treatment / justice?,"""fair play to"" -> ""well done""",,,,,
polo shirt,blouse garment,shirt,X,,,,,,,None,,,,None,,,
contact lens,connection glass,eye lens,,,,,,,,,,,,connection lens,,,
big cheese,large gouda,important person,,,,,,,,sizeable cheese,important entity,,,sizeable cheese,important entity,,
dry land,bare ground,land,,,,,,,,dry ground,terra firma ,,,dry ground,terra firma,,
best man,optimal guy,groomsman,,,,,,,,,,,,optimal man,,,
entrance hall,access hallway,front hall,X,,,,,,,None, ,,,None,,,
white spirit,clear heart,cleaning liquid,,,,,,,,white alcohol,,,,white alcohol,,,
blue blood,azure hemoglobin,noble,,,,,,,,,,,,azure lifeblood,,,
double whammy,multiple hex,dual threat,X,,,,,,,,,,,None,extreme setback,,
night owl,period hooter,nocturnal person,,,,,,,,,,,,night hooter,,,
half wit,incomplete humor,stupid person,I,,,,,,,,,,,incomplete wit,,,
big picture,large image,whole situation,,,,,,,,,,,,large picture,,,
flower child,bloom infant,hippie,,,,,,,,,,,,bloom child,,,
sound judgement,reasonable inquiry,correct judgement,,,,,,,,,,,,noise judgement,good judgement,,
nut case,seed instance,crazy person,,,,,,,,,,,,seed case,,,
insurance company,coverage institution,insurance provider,X,,,,,,,,,,,None,,,
head teacher,mind instructor,director,,,,,,,,None,,,,mind teacher,headmaster,,
jet lag,plane interim,travel fatigue,,,,,,,,,,,,,,,
zebra crossing,striped intersection,pedestrian crossing,,,,,,,,zebra junction,,,,zebra junction,,,
incubation period,brooding interval,development time,,,,,,,,None,Metaphorical?,,,time to incubate,development time,,
guilt trip,condition journey,guilt source,,,,,,,,,,,,regret jouney,feeling guilt,make feel guilty,
armchair critic,recliner judge,bystander,,,,,,,,critic in a chair,unexperienced critic,,,critic in a chair,unexperienced critic,,
small fry,little kid,insignificant,,,,,,,,young fish / little kid,,,,little fry,,,
copy cat,replicate kitty,imitator,,,,,,X,,,,,,replicate cat,,,
rocket science,projectile knowledge,difficult problem,,,study of rockets,,,X,,,,,,,,,
parking lot,space land,car park,X,,,none? ,,X,,,,,,None,,,
blind alley,unsighted lane,unknown territory,,,unviewable lane ,dead end ,,X,,,,,,unsighted alley,position without hope,lane without outlet,
freudian slip,psychoanalytic lapse,subconscious confession,,,,none? ,,X,,,,,,Freud's slip,,,
elbow grease,joint lard,hard work,,,,joint lubrication ,,X,,,,,,joint grease,,,
bow tie,arc lash,tie,X,,,,,,,,,,,None,,,
shrinking violet,declining lavender,shy person,,,,,,,,,,,,contracting violet,,,
fashion plate,style layer,photo,,,,,,,,,,,,vogue plate,photo,fashion icon,
high life,superior lifestyle,expensive lifestyle,X,,,,,,,big life,good life,,,None,good life,,
mother tongue,parent lingua,native language,,,none? ,,,X,,,,,,parent tongue,,,
snake oil,serpent lipid,fake solution,,,,none? ,,X,,,,,,serpent oil,,,
mailing list,posting listing,address list,X,,,,,X,,,,,,None,,,
shelf life,support living,expiration date,X,,,none?,,X,,,,,,None,viable duration,,
poison pill,venom lozenge,emergency exit,,,poison ,emergency measures ,,,,,,,,poison tablet,takeover prevention strategy,,
loose woman,unchaste man,promiscuous woman,,,,,,,,None,,free woman?,,wobbly woman,,,
travel guide,trip manual,guidebook,X,,,,,,,,,,,None,,,
dark horse,black mare,unexpected winner,,,,unexpected candidate ,,X,,,,,,black horse,,,
cocoa butter,chocolate margarine,moisturizer,X,,,,,,,None,,cocoa margerine,,None,,,
blue print,azure mark,instructions,I,,,,,,,,,,,azure print,,,
double cross,multiple mark,betrayal,,,two Xs ,not sure betrayal is right? ,,X,,,,,,two cross-mark,,,
diamond wedding,jewel marriage,anniversary,I,,,,,,,,,,,,,,
grey matter,silvery material,brain,,,,none? ,,X,,,,,,grey material,brain matter,mind,
rice paper,grain material,wrapper,,,,,,,,,,,,paddy notepad,,,
peace conference,tranquility meeting,peace meeting,,,,none?,,X,,,,,,None,,,
swan song,cygnet melody,final performance,,,,,,X,,,,,,bird song,,,
foot soldier,infantry mercenary,common soldier,X,,,,,,,,,,,None,Infantry,important worker without authority,
inner product,internal merchandise,algebraic operation,X,,,none? ,,X,,,,,,None,,,
search engine,lookup motor,searching program,X,,none? ,,,X,,,,,,None,,,
iron collar,metal neckband,punishment collar,I,,,,,,,,,,,,,,
double dutch,multiple netherlander,nonsense,,,,,,,,double German,,,,double German,,,
cloud nine,vapor number,state of happiness,,,,,,X,,,,,,overcast nine,ecstatic,,
private eye,exclusive oculus,detective,,,none? ,,,X,,,,,,personal eye,,,
disc jockey,disk operator,music host,X,,,,,,,,,,,None,,,
pecking order,beaking ordering,hiearchical order,,,order of biting ,order of importance,,X,,,,,,biting order,,,
grass root,herb origin,people driven,,,,organisation of ordinary people ,,X,,,,,,herb root,ordinary people,,
goose egg,bird ovum,bump,,,,,,,,,,,,duck egg,,zero score,
black box,dark pack,secret information,,,,,,,,,,,,dark box,opaque,flight recorder,
melting pot,unfrozen pan,mixture,,,,,,,,,,,,unfrozen pot,,,
think tank,judge panzer,research company,,,,,,,,,,,,armored tank,research group,,
brick wall,stone partition,obstacle,,,,,,,,,,,,wall,difficult obstacle,,
dry wall,bare partition,plaster board,I,,,,,,,,,,,parched wall,,,
application form,claim pattern,form,X,,,,,,,,,,,None,,,
winter solstice,hibernal peak,shortest day,X,,,,,,,,,,,None,solstice,,
bad apple,awful pear,troublemaker,,,,,,,,,,,,awful apple,,,
birth rate,delivery percentage,birth statistic,X,,,,,,,,,,,None,,,
crime rate,felony percentage,crime levels,X,,,,,,,,,,,None,,,
interest rate,charge percentage,profit rate,X,,,,,,,,,,,None,loan cost percentage,,
football season,soccer period,sport season,X,,,,,,,,,,,None,,,
injury time,trauma period,recovery time,,,,,,,,,,extra time ,,trauma time,extra time,,
rainy season,drizzly period,wet season,X,,,,,,,,,,,None,,,
dirty word,smutty phrase,swear word,,,,,,,,,,,,smutty word,,,
word painting,expression picture,music writing,,,,,,,,,,,,expression painting,,,
car park,automobile place,parking lot,,,,,,,,,,,,car garden,,,
elbow room,joint place,space,,,,,,,,,,,,joint room,,,
engine room,motor place,motor room,I,,,,,,,,,,,None,,,
lotus position,lily place,yoga position,,,,,,,,,,,,lily position,,,
web site,internet place,internet site,X,,,,,,,,,,,None,,,
lime tree,grass plant,citrus tree,X,,,,,,,,,,,None,,,
arcade game,gallery play,video game,X,,,,,,,,,,,None,,,
blame game,criticism play,exchanged accusations,,,,,,,,,,,,criticism game,,,
video game,visual play,game,X,,,,,,,,,,,None,,,
health insurance,wellness policy,insurance,X,,,,,,,,,,,None,,,
radio station,transmission post,radio broadcaster,X,,,,,,,,,,,None,,,
snail mail,gastropod post,postal service,,,,,,,,,,,,gastropod mail,,,
big wig,large postiche,important person,,,,,,,,,,,,large wig,,,
face value,aspect price,apparent value,I,,,,,,,,,,,profile value,,,
academy award,institute prize,award,,,,,,,,,,,,school award,,,
medical procedure,medicinal process,operation,X,,,,,,,,,,,None,,,
net income,ultimate profit,profit,X,,,,,,,,,,,None,,,
silver bullet,metal projectile,guaranteed solution,,,metal projectile ,"single, all-encompassing solution (panacea) ",,X,,,,,,bullet,,,
silver screen,metal projection,cinema,,,metal sheet,cinema screen,,X,,,,,,screen,,,
smoke screen,fume projection,distraction,,,,distraction / shield,,X,,,,,,screen,,,
health care,wellness protection,preventive medicine,,,,,,,,,,,,None,health care,,
top dog,best pup,dominant person,,,,,,X,,,,,,best dog,leader,,
home run,house race,scoring run,,,return home ,,,X,,,,,,house run,baseball run,,
gravy train,boom railcar,easy income,,,,,,,,,,,,sauce train,,,
dream ticket,delusion receipt,ideal opportunity,,,,,,,,,,,,fantasy ticket,,,
bank account,fund record,bank fund,X,,,,,,,,,,,None,,,
insane asylum,bizarre refuge,mental insitution,X,,,,,,,,,,,None,asylum,,
critical review,acute report,analysis,X,,,,,,,,,needed review / negative review,,None,,,
gold mine,metal reserve,source of fortune,,,metal reserve,rich source of resources ,,X,,,,,,mine,,,
bull market,animal retail,rising market,,,,,,,,,,,,bull retail,,,
flea market,ectoparasite retail,secondhand market,,,,,,,,,,,,fea retail ,,,
food market,nutrient retail,grocery store,X,,,,,,,,,,,None,,,
smoking gun,smoky revolver,evidence,,,,,,,,,,,,smoky gun,conclusive evidence,,
memory lane,retention road,past,,,,,,,,,,,,retention lane,,,
eager beaver,restless rodent,hard worker,,,,,,,,,,,,restless beaver,,,
glass ceiling,mirror roof,barrier,,,,,,,,,,,,mirror ceiling,,,
inner circle,internal round,close associates,,,,,,,,,,,,circle,,,
crash course,blast route,intensive course,,,,,,,,,,,,blast course,,,
radioactive waste,dangerous rubbish,toxic trash,X,,,,,,,,,,,None,,,
graduate student,alumnus scholar,student,X,,,,,,,,,,,None,,,
middle school,center schooling,secondary school,X,,,,,,,,,,,None,,,
number crunching,figure scranch,calculations,,,,,,,,,,,,crunching,,,
calendar month,agenda season,period,X,,,,,,,,,,,None,,,
insider trading,person selling,unfair exchanges,,,,,,,,member dealing,,,,representative trading,illegal trading,,
carpet bombing,rug shelling,massive bombing,,,,,,,,,,inundate -> indundation,,rug bombing,,,
tennis elbow,squash shoulder,elbow injury,,,,,,,,,,,,squash elbow,,,
blood bath,sanguine fluid shower,massacre,,,,,,,,,,,,sanguine fluid bath,,,
low profile,flat sketch,subtle,,,,,,,,,,,,flat profile,avoiding attention,,
pain killer,hurting slayer,analgesics,,,,,,,,,,,,hurt killer,,,
speed trap,velocity snare,speed check,,,,,,,,,,,,velocity trap,,,
computer program,workstation software,software,X,,,,,,,,,,,None,,,
market place,store spot,market,X,,,,,,,physical market?,virtual market? ,,,None,,,
front runner,forepart sprinter,favourite,,,,,,,,,,,,forepart runner,,,
game plan,play strategy,plan,X,,,,,,,,,,,None,,,
ivory tower,tusk structure,isolation,,,,,,,,,,,,tusk tower,privileged seclusion,,
subway system,underground structure,metro,,,,,,,,,,,,,,,
cotton candy,material sweet,fluffy candy,,,,,,,,,,,,fabric candy,,,
eye candy,ocular sweet,pleasing image,,,,,,,,,,,,ocular candy,,,
climate change,atmosphere switch,change in climate,X,,,,,,,,,,,None,,,
traffic jam,influx tailback,traffic congestion,I,,,,,,,,,,,None,,,
fish story,animal tale,exaggerated story,,,,,,,,,,,,angle story,,,
research project,investigation task,project,X,,,,,,,,,,,None,,,
crocodile tear,reptile teardrop,fake tears,,,,,,,,,,,,reptile tear,,,
cellular phone,biological telephone,phone,X,,,,,,,None,,,,None,,,
health check,wellness test,health evaluation,X,,,,,,,,,,,None,,,
rat run,mouse test,small road,,,,,,,,rodent run,,,,rodent run,,,
prison term,jail time,prison sentence,X,,,,,,,,,,,None,,,
rush hour,hurry time,busy time,X,,,,,,,,,,,None,,,
biological clock,organic timer,life cycle,,,,,,,,None,,,,organic clock,,circadian rhythm,
grandfather clock,grandad timer,clock,,,,,,,,None,,,,granddad clock,,old person,
skin tone,cutis tonus,skin color,X,,,,,,,,,,,None,,,
monkey business,ape trade,mischievous behaviour,,,,,,,,,,,,ape business,,,
kangaroo court,marsupial tribunal,unauthorized court,,,,,,,,,,,,marsupial court,,,
big fish,large tuna,important person,,,,,,,,,,,,large fish,,,
leap year,jump twelvemonth,bissextile year,,,,,,,,None,,,,jump year,,,
agony aunt,anguish uncle,newspaper columnist,,,,,,,,None,,,,suffering aunt,,,
mental disorder,intellectual upset,psychological disorder,X,,,,,,,None,,,,None,,,
tear gas,teardrop vapour,chemical weapon,,,,,,,,None,,,,teardrop gas,,,
time difference,date variation,time gap,I,,,,,,,,,,,time gap,date variation,,
closed book,locked volume,mystery,,,,,,,,,,no lookup,,shut book,,,
hard drive,solid volume,computer storage,,,,,,,,,,,,solid drive,,,
phone book,telephone volume,telephone directory,X,,,,,,,,,,,None,,,
pocket book,compartment volume,wallet,I,,,,,,,,,,,book ,wallet,,
record book,document volume,log book,X,,,,,,,,,,,None,,,
life vest,existence waistcoat,flotation device,,,,,,,,,,medical vest,,existence vest,,,
civil marriage,civilian wedding,legal marriage,X,,,,,,,,,,,None,,,
front man,forepart woman,representative,,,,,,,,man at the front,,,,man at the front,,,
research lab,investigation workplace,research facility,X,,,,,,,,,,,None,,,
music journalist,sound writer,music reporter,X,,,,,,,,,,,None,,,
couch potato,sofa yam,lazy person,,,,,,,,,,,,sofa potato,,,
hot potato,blazing yam,controversial issue,,,,,,,,,,,,blazing potato,,,