MWE,Literal Meaning,Non-Literal Meaning,Is compositional,,NEW Literal Meaning,NEW Non-Literal Meaning,Non-Literal Meaning Added,Comments,NEW Literal Meaning (2),NEW Non-Literal Meaning  (2),Non-Literal Meaning Added  (2),Comments,
abalo sísmico,trepidação enérgica,tremor de terra,I,,tremor de terra,,,"""tremor de terra"" is a synonym for ""terremoto"" (both literal meaning). There isn't any non-literal meaning for it.",,,,,0
acampamento militar,camping bélico,acampamento do exército,I,,acampamento do exército,None,,"*Its LITERAL meaning is ""acampamento do exército"". There's no Non-literal meaning fot it.",,,,,1
agente secreto,agenciador oculto,espião,,,,,,is not commonly used in its literal meaning,,,,,0
água doce,fluido açucarado,água potável,,,líquido açucarado,None,,is not commonly used in its literal meaning,,,,,1
água  mineral,fluido inorgânico,água,,,líquido inorgânico,água de fonte natural,,It is only used in its non-literal meaning,,,,,0
alarme falso,aviso fingido,engano,,,,,,is not commonly used in its literal meaning,,,,,0
algodão-doce,algodoeiro açucarado,doce,,,,tipo de doce,,*There weren't many examples. Much more common without the hyphen (same meaning). It is only used in its non-literal meaning.,,,,,0
alta temporada,elevada época,época de férias,,,,,,It is only used in its non-literal meaning,,,,,0
alta-costura,elevada sutura,alta qualidade,,,,roupa exclusivas,conjunto de grandes costureiros,It is only used in its non-literal meaning,,,,,0
alto mar,elevado oceano,mar aberto,,,,None,,The non-literal meaning is also found without the hyphen,,,,,1
alto-falante,elevado locutor,caixa de som,,,,None,,It is only used in its non-literal meaning,,,,It is only used in its non-literal meaning,1
amigo oculto,companheiro escondido,amigo secreto,,,,bricadeira de presentear,,is not commonly used in its literal meaning,,,,,0
amigo secreto,companheiro oculto,amigo oculto,,,,bricadeira de presentear,,is not commonly used in its literal meaning,,,,,0
amor-próprio,afeto pessoal,auto estima,,,amor particular,None,,It is only used in its non-literal meaning,,,,,1
ano-novo,data recente,reveillon,,,ano inédito,None,,,,,,,1
ar condicionado,brisa dependente,climatizador,,,ar resfriado,None,,I only found it in its non-literal meaning,,,,,1
ar livre,brisa liberta,céu aberto,,,,None,,It is only used in its non-literal meaning,,,,,1
arma branca,pistola alva,faca,,,,None,,It is only used in its non-literal meaning,,,,,1
ato falho,ação falhada,erro,,,,,,It is only used in its non-literal meaning,,,,,0
banho turco,mergulho otomano,sauna,,,imersão da Turquia,,,It is only used in its non-literal meaning,,,,,0
batata-doce,tubérculo açucarado,batata,,,,None,,It is only used in its non-literal meaning,,variedade de batata,,,1
bebida alcoólica,líquido etílico,álcool,,,bebida com álcool,,,There isn't any non-literal meaning.,,,,,1
bode expiatório,mestiço remissório,culpada,,,bode castigado,culpado injustamente,,It is only used in its non-literal meaning,,,,,0
braço direito,membro destro,ajudante,,,,ajudante principal,,,,,,,0
buraco negro,furo preto,vortex,,,,supermassiva morta ,algo desconhecido,,,,,,0
café colonial,cafezeiro colonialista,café da manhã,,,cafeeiro colonialista,refeição sortida,restaurante colonial,,,,,,0
caixa-forte,arca dura,cofre,,,arca resistente,,,"with the hyphen, it's only used in its non-literal meaning",,,,,0
caixa-preta,arca negra,segredo,,,,,gravador aeronáutico,"This idiom also has another non-literal meaning (in informatics), which is ""sistema oculto"", even though we only use it without a hyphen (same way as the literal meaning).",,,,,0
caixeiro viajante,empregado viageiro,vendedor ambulante,,,,,,,,,,,0
câmara fria,compartimento fresco,refrigerador,,,,sala de armazenamento refrigerada,,,,,,,0
carne branca,bife alvo,carne de peixe,,,,None,Carne de peixe e frango,,,,,,1
carne vermelha,bife encarnado,carne bovina,,,,None,,,,,,,1
carro-forte,viatura dura,carro blindado,,,,None,,,,,,It is only used in its non-literal meaning,1
carta aberta,correspondência acessível,carta pública,,,,,,,,,,,0
centro comercial,congregação mercantil,shopping,I,,,None,,"Unlike to what I've put in the system, there is no ""other"" meaning.",,,,,1
centro espírita,congregação espiritista,centro religioso,,,,None,,,,,,,1
cerca viva,vedação ativa,cerca de plantas,,,,,,,,,,It is only used in its non-literal meaning,0
céu aberto,firmamento acessível,ar livre,,,,,Céu limpo,,,,,,0
cheiro-verde,odor esverdeado,tempero,,,,None,,Only used in its non-literal meaning,,,,,1
circuito integrado,contorno incluído,chip,,,,None,,,,,,,1
círculo vicioso,circunferência viciada,ciclo vicioso,,,,,,,,,,It is only used in its non-literal meaning,0
círculo virtuoso,circunferência honrada,ciclo virtuoso,,,,,,Only used in its non-literal meaning,,,,The non-literal meaning isn't the exact meaning of the idiom but it's the closer one,0
classe executiva,categoria administradora,primeira classe,,,,,,The non-literal meaning isn't the exact meaning of the idiom,,,,,0
colégio militar,escola bélica,escola militar,,,,None,,,,,,,1
coluna social,pilar comunitário,coluna de fofoca,I,,,None,,There are no sentences ,,,,,1
comida caseira,alimento doméstico,comida feita em casa,,,,None,,,,,,,1
companhia aérea,empresa aeronáutica,empresa aérea,,,,None,,,,,,,1
conta-corrente,contagem ordinária,conta bancária,,,,None,,,,,,,1
coração partido,alma quebrada,decepção amorosa,,,,,Situação triste,,,,,,0
corda bamba,cabo lasso,situação delicada,,,Cabo solto,,,,,,,,0
cordas vocais,estes são cabos orais,estas são pregas vocais,,,,None,,,,,,Only used in its non-literal meaning,1
curto-circuito,contorno limitado,problema elétrico,,,,,,,,,colapso,,0
deputado federal,representante federalista,política,,,,None,,,,cargo político,,,1
desfile militar,marcha bélica,parada militar,,,,None,,,,,,,1
direitos humanos,estes são benefícios humanais,estes são direitos,,,,,,,,,,,0
disco rígido,círculo rijo,hd,,,,,,,,,,,0
disco voador,círculo voante,ovni,,,,,,,,,,,0
efeito especial,execução incomum,efeito,,,,efeitos de imagem e som,,,,efeitos de imagem e som,,,0
elefante branco,paquiderme alvo,inútil,,,,obras públicas sem utilidade,,,,,,,0
escada rolante,escaleira rotatória,escada automática,,,,None,,,,,,,1
estrela cadente,astro descente,meteoro,,,,,,,,,breve,,0
exame clínico,análise médica,exame médico,,,,None,,"The non-literal and the literal meaning are pretty similar, is hard to identify the difference in sentences, altough the non-literal meaning sounds more common to use/speak.",,,,,1
exame laboratorial,análise científica,exame de laboratório,,,,None,,,,,,,1
farinha integral,sêmola íntegra,farinha,,,,None,,,,variedade de farinha,,,1
febre amarela,pirexia amarelada,doença,,,,None,,It's only used in it's non-literal meaning.,,,,,1
ficha limpa,registro impoluto,honestidade,,,,None,legislação brasileira,,,,,,1
fila indiana,linha índia,fila,,,,None,,,,,,,1
fio condutor,cordão transmissor,tema principal,,,,,,,,,,,0
força bruta,potência crua,violência,,,,,termo tecnológico,Found examples with hyphen for the non-literal meaning added.,,,,,0
gato-pingado,felino chuviscado,pessoa,,,,,,"More common without the hyphen, with the same meaning.",,,,,0
gelo-seco,geada enxuta,fumaça,I,,,None,gelo,"More common without the hyphen, with the same meaning. I didn't find sentences with the literal meaning, just with the non-literals.",,,,,1
golpe baixo,batida inferior,golpe sujo,,,,,,,,,,,0
governo federal,governação federalista,governo,,,,None,,,,,,,1
gripe aviária,constipação aviculária,gripe,,,,None,,,,,,,1
gripe suína,constipação porcina,h1n1,,,,None,,,,,,,1
guarda-florestal,guardião silvícola,guarda da floresta,,,,None,,,,,órgão vigilante,,1
jogo duro,partida rígida,este é o difícil,,,,,manobra política,,,,manobra política,,0
juízo final,julgamento último,apocalipse,,,,,,,,,,,0
leite integral,laticínio íntegro,isto é o leite,I,,,None,,,,,,,1
lista negra,listagem preta,lista de coisas ruins,,,,,,,,,,,0
livre-docente,professor liberto,professor,,,,,título,,,professor universitário de alto grau acadêmico,,,0
livro aberto,volume acessível,este é transparente,,,,,,,,,,,0
longa data,época comprida,isto é muito tempo,,,,,,,,,,is more commonly used in its non-literal meaning,0
longa-metragem,medição comprida,filme,,,,,,,,,,,0
lua cheia,satélite carregado,lua completa,,,,,,,,,,,0
lua nova,satélite recente,lua,,,,,,,,,,,0
lugar-comum,local público,clichê,,,,,lugar de identificação,,,,local de identificação,,0
má-fé,crença ruim,maldade,,,,,conceito do Direito processual,,,,,,0
magia negra,feitiçaria preta,bruxaria,,,,,magia feita por pessoas negras,,,,,,0
mão-fechada,palmo cerrado,pão duro,,,,,,,,,,,0
máquina virtual,aparelho potencial,computador virtual,,,,None,,It is only used in its literal meaning,,,,,1
mar aberto,oceano acessível,alto mar,,,,,,not enough sentences of the non-literal meaning,,,,,0
maré alta,fluxo elevado,mar alto,I,,,,,not enough sentences of the non-literal meaning,,,,,0
maré baixa,fluxo inferior,baixa mar,I,,,,,not enough sentences of the non-literal meaning,,,,,0
massa cinzenta,matéria alvacenta,cérebro,,,,,,It is only used in its non-literal meaning,,,,,0
mau contato,tocamento ruim,problema,I,,,,,It is only used in its non-literal meaning,,,,,0
mau-humor,temperamento ruim,irritação,I,,,,,there is only examples without the hyphen,,,,,0
mau-olhado,observado ruim,inveja,,,,desejos maldosos,,It is only used in its literal meaning,,desejos maldosos,,,0
mercado negro,negócio preto,mercado ilegal,,,,,,It is only used in its literal meaning,,,,,0
mesa-redonda,secretária circular,debate,I,,,,,there is only examples without the hyphen,,ups and downs,,,0
montanha-russa,monte moscovita,brinquedo,,,,,,,,,,,0
navio negreiro,barco escravo,navio de escravos,,,,None,,,,,,only used in its non-literal meaning,1
nó cego,laço invisual,nó apertado,,,,,,,,,situação complicada,,0
novo mundo,planeta recente,novidade,,,,,,not enough sentences of the non-literal meaning,,,,,0
novo-rico,endinheirado recente,milionário recente,I,,,,,there is only examples without the hyphen,,,,,0
núcleo atômico,cerne nuclear,núcleo,I,,,,,It is only used in its literal meaning,,,,,0
olho gordo,vista obesa,inveja,,,,,,It is only used in its non-literal meaning,,,,,0
olho mágico,vista feiticeira,visor,,,,,,It is only used in its non-literal meaning,,,,also used in its literal meaning,0
olho nu,vista despida,visão humana,I,,,,,It is only used in its literal meaning,,,,,0
ônibus executivo,autocarro administrador,ônibus,,,ônibus de alta classe,None,,It is only used in its non-literal meaning,ônibus de alta classe,none,,,1
ovelha negra,borrega preta,diferente,I,,,,,not enough sentences of the literal meaning,,,,,0
pão-duro,broa rígida,mão de vaca,,,,,,It is only used in its non-literal meaning,,,,,0
papel higiênico,folha higienizada,papel,,,,None,,It is only used in its non-literal meaning,,papel para higienização,,,1
paraíso fiscal,éden tributário,refúgio fiscal,,,,,,It is only used in its non-literal meaning,,,,,0
pastor alemão,pegureiro germânico,cachorro,,,,,,It is only used in its non-literal meaning,,,,,0
pau-mandado,madeiro ordenado,submisso,,,,,,It is only used in its non-literal meaning,,,,,0
pavio curto,mecha pequena,falta de paciência,,,,,,It is only used in its non-literal meaning,,,,,0
pé quente,pata cálida,sortudo,,,,,,It is only used in its non-literal meaning; Not enough sentences,,,,,0
pé-direito,pata destra,altura,I,,,,,"the non-literal meaning of ""pé-direito"" is actually ""start with luck or start well"", I didn't understand the use of ""altura"", I think you mistook for the non-literal meaning of ""foot"" in English.There is only examples without the hyphen",,luck/or well,,,0
pé-frio,pata fresca,azarado,,,,,,It is only used in its non-literal meaning,,,,,0
pente fino,carda estreita,análise minuciosa,,,,,,,,,,not enough sentences of the literal meaning,0
peso morto,carga falecida,inútil,,,,,,,,,,only used in its non-literal meaning,0
planta baixa,plano inferior,planta,,,planta pequena,projeto de arquitetura,,,planta pequena,projeto de arquitetura,,only used in its non literal meaning,0
poção mágica,remédio feiticeiro,elixir,,,elixir com feitiçaria,solução milagrosa,,,,,,,0
pólo-aquático,andebol aquoso,pólo na água,I,,pólo na água,handebol na água,,there is only examples without the hyphen,,,,,0
ponto cego,lugar invisual,ponto oculto,,,,,onde se falha,,,,,,0
ponto forte,lugar duro,qualidade,I,,qualidade marcante,qualidade marcante,ápice, ,,qualidade marcante,,,0
ponto fraco,lugar débil,fraqueza,,,,,,,,,,,0
prato feito,comida realizada,prato pronto,,,,,,,,,,,0
primeira infância,meninice inicial,primeiro ano de vida,,,,primeiros seis anos de vida,,,,primeiros seis anos de vida,,only used in its non-literal meaning,0
primeira mão,palmo inicial,novidade,I,,,,,,,,,,0
primeira necessidade,exigência inicial,prioridade,,,,None,,,,,,,1
primeira-dama,mulher inicial,esposa do presidente,,,,esposa de quem governa,,,,,,only used in its non-literal meaning,0
primeiro ministro,servidor inicial,chefe de estado,I,,ministro inicial,,,there is only examples with hyphen,,,,,0
primeiro plano,nível inicial,destaque,,,,,primeiro momento,,,,primeiro momento,,0
príncipe encantado,infante enfeitiçado,homem perfeito,,,príncipe enfeitiçado,,homem dos sonhos,,,,,,0
processo seletivo,procedimento selecionado,seleção,I,,,None,,,processo que seleciona,,,only used in its literal meaning,1
pronto-socorro,assistência rápida,hospital,,,,ala de assistência imediata,,,,ala de assistência imediata,,only used in its non-literal meaning,0
puro-sangue,plasma autêntico,de raça,,,,,puro,,,,,,0
quadro-negro,painel preto,lousa,I,,,,,there is only examples without the hyphen,,,,only used in its non-literal meaning,0
queda livre,caída liberta,queda,,,,,conceito da física,,,,,,0
quinta categoria,quarta classe,ruim,,,quinta classe,má qualidade,,,,,,,0
rede social,malha comunitária,rede de contatos,,,,,,,,,,only used in its non-literal meaning,0
regime político,sistema parlamentar,sistema político,I,,,None,,,,,,,1
relógio analógico,temporizador análogo,relógio,,,,relógio tradicional,,,,,,,0
relógio biológico,temporizador orgânico,relógio interno,,,,,,,,,,only used in its non-literal meaning,0
reta final,linha última,fim,,,,,,,,,,,0
roda gigante,círculo enorme,brinquedo,,,brinquedo alto,,,,,,,correction: roda-gigante,0
roleta russa,roda moscovita,jogo de azar,,,jogo mortal,,,,,,,,0
saia justa,vestido apertado,situação difícil,,,saia apertada,,,,,,,,0
sala cirúrgica,salão operatório,sala de cirurgia,I,,,None,,,,,,,1
salão paroquial,sala diocesana,salão da igreja,,,,None,,,salão da igreja,,,,1
sangue azul,plasma anil,nobreza,,,,,,,,,,,0
sangue frio,plasma fresco,sem piedade,,,plasma gelado,sem escrúpulos,tranquilidade quando sob pressão,,,,,,0
sangue quente,plasma cálido,raiva,,,,raiva impulsiva,cheio de ardor,,,,,,0
secretária eletrônica,ajudante digital,resposta automática,,,,gravador de mensagens de ligações,,,,,,,0
segundas intenções,estes são propósitos secundários,estas são malícias,,,,objetivos ocultos,,,,,,,0
segundo plano,nível secundário,não prioritário,,,,prioridade secundária,executar de fundo,,,,,,0
sentença judicial,deliberação judiciária,decisão judicial,I,,,None,,,,,,,1
sétima arte,sexta técnica,cinema,,,sétima técnica,,,,,,,only used in its non-literal meaning,0
sexto sentido,quinto significado,intuição,,,sexta percepção,,,,,,,,0
sinal verde,símbolo esverdeado,aprovação,I,,,,,,,,semáforo de luz verde,,0
sistema político,estrutura parlamentar,política,I,,,None,,,,,,,1
tapete vermelho,alcatifa encarnada,oscar,,,,entrada de evento,,,,,prestígio,,0
tartaruga-marinha,cágado marítimo,tartaruga do mar,I,,,None,,,tartaruga do mar,None,,"""cágado"" e ""tartaruga"" are different animals",1
tela plana,ecrã liso,tela reta,,,,,,,,,,,0
tempo real,período autêntico,este é ao vivo,,,,no momento,,,,no momento,,,0
terceira idade,terça vida,velhice,,,,,,,,,,,0
terceira pessoa,terça personalidade,narrador externo,,,terço indivíduo,visão,,,,,indivíduo na terceira posição,,0
tiro livre,disparo liberto,falta,,,,,"""disparo sem mirar"" and ""tiro de prática""","there are 2 other non-literal meanings, both with few exemples each; I added the exemples for ""disparo sem mirar"" as ""other"" and ""tiro de prática"" as ""meta-usage""",,,,,0
trabalho braçal,tarefa braquial,trabalho manual,,,,,,,,,,,0
trabalho escravo,tarefa prisioneira,trabalho forçado,I,,,,,,trabalho forçado,,,,0
vaca louca,boi demente,encefalopatia espongiforme,,,,,carne desfiada servida com legumes e saladas,,,,,,0
vinho branco,champanhe alvo,vinho,,,,None,,,vinho,none,,,1
vinho tinto,champanhe tingido,vinho vermelho,,,,None,,,bebida feita de uvas tintas,none,,,1
vista grossa,visão espessa,este ignorou,,,,fingir que não viu,,,,,,it is only used in the non-literal meaning,0
viva voz,fala ativa,voz alta,,,fala animada,,,"correção: ""viva-voz""",,,,,0
vôo doméstico,viagem familiar,vôo nacional,,,,None,,"correção: ""voo""",,,,,1
vôo internacional,viagem exterior,viagem internacional,,,,None,,"correção: ""voo""",,,,,1
voto secreto,sufrágio oculto,voto oculto,,,,None,,,voto oculto,None,,"""sufrágio"" does not have the same meaning that ""voto""",1